country_name,total_usage,automation_volume,automation_rate,augmentation_rate
United States,208300.0,93332.80691642652,44.8,55.2
Canada,73243.0,36691.04229395786,50.1,49.9
India,70995.0,32758.106627062345,46.1,53.9
Brazil,35582.0,19891.904402232118,55.9,44.1
Japan,35398.0,13186.251402345742,37.3,62.7
South Korea,35385.0,13022.803174153323,36.8,63.2
United Kingdom,30574.0,11216.687011878978,36.7,63.3
Germany,25787.0,9098.014174059515,35.3,64.7
France,21414.0,8132.979731631791,38.0,62.0
Australia,18853.0,7124.791286727457,37.8,62.2
Indonesia,18837.0,8847.7907075979,47.0,53.0
Israel,18065.0,6847.272398972463,37.9,62.1
Italy,14483.0,5455.66947090315,37.7,62.3
Colombia,13075.0,5440.983113497323,41.6,58.4
Thailand,12319.0,5716.403142646698,46.4,53.6
Morocco,11418.0,4632.009775178663,40.6,59.4
Vietnam,10751.0,4608.869214158295,42.9,57.1
Spain,10682.0,4073.130788130788,38.1,61.9
Turkey,10502.0,3991.002307248606,38.0,62.0
Poland,10072.0,3582.569594865624,35.6,64.4
Taiwan,9780.0,3765.5020661157023,38.5,61.5
Pakistan,9364.0,4753.766407599309,50.8,49.2
Mexico,9272.0,3997.1094635848235,43.1,56.9
Philippines,9175.0,3985.438016528926,43.4,56.6
Vatican,8520.0,3629.600950118765,42.6,57.4
The Netherlands,7852.0,2711.5330237358103,34.5,65.5
Argentina,7030.0,2972.256343039408,42.3,57.7
Nigeria,6955.0,3426.263311451495,49.3,50.7
Ukraine,6222.0,2540.836327997387,40.8,59.2
Panama,6165.0,2426.1019581064593,39.4,60.6
Gabon,5868.0,2440.173106585551,41.6,58.4
Egypt,5476.0,2550.577380952381,46.6,53.4
Singapore,5475.0,2032.1162790697674,37.1,62.9
New Caledonia,5416.0,2105.4620219557673,38.9,61.1
South Africa,5252.0,2326.2934782608695,44.3,55.7
Peru,5160.0,2294.466403162055,44.5,55.5
Malaysia,4981.0,1986.8893669330055,39.9,60.1
Tunisia,4462.0,1845.310615879545,41.4,58.6
Moldova,4460.0,1770.8473688716629,39.7,60.3
Switzerland,4411.0,1586.9777313848297,36.0,64.0
Chile,4215.0,1711.607533414338,40.6,59.4
Kenya,4165.0,1998.9950799507994,48.0,52.0
Sri Lanka,3895.0,1962.3820816864295,50.4,49.6
Sweden,3875.0,1342.6490066225167,34.6,65.4
Azerbaijan,3873.0,1490.195776286771,38.5,61.5
Macao,3809.0,1605.1407387435966,42.1,57.9
Belgium,3759.0,1405.3872642798578,37.4,62.6
New Zealand,3747.0,1415.784480394845,37.8,62.2
Portugal,3621.0,1365.7165577960807,37.7,62.3
Romania,3427.0,1286.541328524196,37.5,62.5
Bangladesh,3418.0,1597.745027124774,46.7,53.3
Czechia,3197.0,1143.7765579593154,35.8,64.2
Ecuador,3142.0,1517.2905982905982,48.3,51.7
United Arab Emirates,3111.0,1317.344735968117,42.3,57.7
Mongolia,3095.0,1266.978268331314,40.9,59.1
Iraq,2940.0,1218.443661971831,41.4,58.6
Saudi Arabia,2894.0,1245.0207587687903,43.0,57.0
Austria,2700.0,936.6923076923076,34.7,65.3
Denmark,2382.0,774.5153374233129,32.5,67.5
Greece,2288.0,864.7970749542962,37.8,62.2
Norway,2236.0,762.0823970037453,34.1,65.9
Nepal,2223.0,997.8893075836081,44.9,55.1
Ireland,2177.0,843.7578237843043,38.8,61.2
Algeria,2058.0,918.6373850868233,44.6,55.4
Ghana,1992.0,1036.0084566596195,52.0,48.0
Finland,1808.0,605.4894613583139,33.5,66.5
Albania,1804.0,727.4376012965964,40.3,59.7
Bulgaria,1658.0,632.1258023106548,38.1,61.9
Serbia,1639.0,604.9070825211176,36.9,63.1
Hungary,1624.0,576.4986876640421,35.5,64.5
Laos,1618.0,686.5488879945938,42.4,57.6
Seychelles,1479.0,636.0021754894851,43.0,57.0
Kazakhstan,1471.0,556.855579868709,37.9,62.1
Georgia,1435.0,547.12734082397,38.1,61.9
Costa Rica,1311.0,544.5359207266721,41.5,58.5
Dominican Republic,1231.0,564.8885941644562,45.9,54.1
Guatemala,1216.0,500.1290322580645,41.1,58.9
Cayman Islands,1196.0,525.9637282592538,44.0,56.0
Lithuania,1145.0,391.1626794258373,34.2,65.8
Bolivia,1112.0,477.9841897233202,43.0,57.0
Ivory Coast,1039.0,514.520766773163,49.5,50.5
Cameroon,1037.0,544.5080042689434,52.5,47.5
Montenegro,1032.0,350.59562841530055,34.0,66.0
Slovakia,1003.0,390.9811738648948,39.0,61.0
Croatia,1000.0,385.55555555555554,38.6,61.4
Jordan,993.0,430.3370660694289,43.3,56.7
Senegal,928.0,442.70531400966183,47.7,52.3
Armenia,918.0,489.3007334963325,53.3,46.7
Niger,887.0,356.11523687580024,40.1,59.9
Uruguay,862.0,380.09448818897636,44.1,55.9
Cambodia,833.0,409.1132332878581,49.1,50.9
Malta,830.0,322.70898463355775,38.9,61.1
Estonia,801.0,282.23537803138373,35.2,64.8
Lebanon,798.0,317.8280802292264,39.8,60.2
Paraguay,777.0,392.5169867060561,50.5,49.5
Rwanda,753.0,370.15773353751916,49.2,50.8
Latvia,745.0,249.48837209302326,33.5,66.5
Uganda,708.0,310.9144736842105,43.9,56.1
Cyprus,687.0,235.2419080068143,34.2,65.8
Madagascar,683.0,294.05317324185245,43.1,56.9
Slovenia,683.0,255.3927958833619,37.4,62.6
Benin,627.0,314.0948766603416,50.1,49.9
Uzbekistan,579.0,233.29227557411275,40.3,59.7
Qatar,576.0,231.12605042016807,40.1,59.9
Mozambique,553.0,328.3818984547461,59.4,40.6
Puerto Rico,544.0,213.1891891891892,39.2,60.8
El Salvador,543.0,253.72686230248308,46.7,53.3
Honduras,533.0,228.95612009237874,43.0,57.0
Tanzania,505.0,231.92592592592592,45.9,54.1
Montserrat,479.0,193.3693931398417,40.4,59.6
Zimbabwe,470.0,226.10810810810813,48.1,51.9
Bosnia And Herzegovina,460.0,163.55555555555554,35.6,64.4
Zambia,459.0,235.2534818941504,51.3,48.7
Kuwait,444.0,180.69767441860466,40.7,59.3
Luxembourg,433.0,156.03603603603602,36.0,64.0
North Macedonia,430.0,152.45454545454544,35.5,64.5
Mauritius,412.0,176.94871794871796,42.9,57.1
Jamaica,410.0,189.1290322580645,46.1,53.9
Palestinian Territory,407.0,156.43648208469057,38.4,61.6
Oman,397.0,164.4141414141414,41.4,58.6
Kyrgyzstan,376.0,148.4927536231884,39.5,60.5
Burkina Faso,373.0,188.54945054945054,50.5,49.5
Angola,338.0,160.47899159663865,47.5,52.5
Bahrain,328.0,135.22807017543857,41.2,58.8
Iceland,299.0,97.66331658291458,32.7,67.3
Malawi,294.0,143.96907216494844,49.0,51.0
Namibia,279.0,130.92737430167597,46.9,53.1
Trinidad And Tobago,276.0,128.5909090909091,46.6,53.4
Reunion,260.0,89.375,34.4,65.6
Maldives,259.0,110.76729559748428,42.8,57.2
Togo,259.0,110.76729559748428,42.8,57.2
Sudan,240.0,109.71428571428572,45.7,54.3
Haiti,235.0,113.14814814814815,48.1,51.9
Republic Of The Congo,220.0,111.83333333333333,50.8,49.2
Kosovo,218.0,103.45762711864407,47.5,52.5
Botswana,204.0,98.07692307692308,48.1,51.9
Tajikistan,198.0,80.81632653061223,40.8,59.2
Guinea,177.0,96.54545454545453,54.5,45.5
Papua New Guinea,168.0,71.64705882352942,42.6,57.4
Chad,167.0,99.70149253731343,59.7,40.3
Mauritania,167.0,72.28358208955223,43.3,56.7
Barbados,163.0,85.38095238095238,52.4,47.6
Brunei,161.0,50.14754098360656,31.1,68.9
French Polynesia,160.0,56.0,35.0,65.0
Bhutan,160.0,64.0,40.0,60.0
Fiji,159.0,64.67796610169492,40.7,59.3
Burundi,159.0,75.45762711864407,47.5,52.5
Martinique,156.0,72.42857142857143,46.4,53.6
Lesotho,155.0,70.45454545454545,45.5,54.5
Sierra Leone,154.0,91.25925925925925,59.3,40.7
Gambia,148.0,64.75,43.8,56.2
Bahamas,146.0,63.47826086956522,43.5,56.5
Isle Of Man,142.0,64.23809523809524,45.2,54.8
Eswatini,140.0,52.5,37.5,62.5
Saint Lucia,140.0,63.0,45.0,55.0
Andorra,140.0,0.0,0.0,100.0
Cabo Verde,140.0,63.0,45.0,55.0
Belize,138.0,58.10526315789473,42.1,57.9
Liberia,136.0,75.55555555555556,55.6,44.4
Timor Leste,134.0,63.05882352941176,47.1,52.9
Guyana,131.0,71.83870967741936,54.8,45.2
Jersey,131.0,67.61290322580645,51.6,48.4
Curacao,129.0,75.62068965517241,58.6,41.4
